PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
447,1,2,0,13.0,0,1,19.5,75.0,2.0
448,1,1,1,34.0,0,0,26.55,75.0,2.0
449,1,3,0,5.0,2,1,19.2583,75.0,0.0
450,1,1,1,52.0,0,0,30.5,50.0,2.0
451,0,2,1,36.0,1,2,27.75,75.0,2.0
452,0,3,1,29.69911764705882,1,0,19.9667,75.0,2.0
453,0,1,1,30.0,0,0,27.75,53.0,0.0
454,1,1,1,49.0,1,0,89.1042,86.0,0.0
455,0,3,1,29.69911764705882,0,0,8.05,75.0,2.0
456,1,3,1,29.0,0,0,7.8958,75.0,0.0
457,0,1,1,65.0,0,0,26.55,126.0,2.0
458,1,1,0,29.69911764705882,1,0,51.8625,97.0,2.0
459,1,2,0,50.0,0,0,10.5,75.0,2.0
460,0,3,1,29.69911764705882,0,0,7.75,75.0,1.0
461,1,1,1,48.0,0,0,26.55,117.0,2.0
462,0,3,1,34.0,0,0,8.05,75.0,2.0
463,0,1,1,47.0,0,0,38.5,133.0,2.0
464,0,2,1,48.0,0,0,13.0,75.0,2.0
465,0,3,1,29.69911764705882,0,0,8.05,75.0,2.0
466,0,3,1,38.0,0,0,7.05,75.0,2.0
467,0,2,1,29.69911764705882,0,0,0.0,75.0,2.0
468,0,1,1,56.0,0,0,26.55,75.0,2.0
469,0,3,1,29.69911764705882,0,0,7.725,75.0,1.0
470,1,3,0,0.75,2,1,19.2583,75.0,0.0
471,0,3,1,29.69911764705882,0,0,7.25,75.0,2.0
472,0,3,1,38.0,0,0,8.6625,75.0,2.0
473,1,2,0,33.0,1,2,27.75,75.0,2.0
474,1,2,0,23.0,0,0,13.7917,90.0,0.0
475,0,3,0,22.0,0,0,9.8375,75.0,2.0
476,0,1,1,29.69911764705882,0,0,52.0,1.0,2.0
477,0,2,1,34.0,1,0,21.0,75.0,2.0
478,0,3,1,29.0,1,0,7.0458,75.0,2.0
479,0,3,1,22.0,0,0,7.5208,75.0,2.0
480,1,3,0,2.0,0,1,12.2875,75.0,2.0
481,0,3,1,9.0,5,2,46.9,75.0,2.0
482,0,2,1,29.69911764705882,0,0,0.0,75.0,2.0
483,0,3,1,50.0,0,0,8.05,75.0,2.0
484,1,3,0,63.0,0,0,9.5875,75.0,2.0
485,1,1,1,25.0,1,0,91.0792,31.0,0.0
486,0,3,0,29.69911764705882,3,1,25.4667,75.0,2.0
487,1,1,0,35.0,1,0,90.0,87.0,2.0
488,0,1,1,58.0,0,0,29.7,25.0,0.0
489,0,3,1,30.0,0,0,8.05,75.0,2.0
490,1,3,1,9.0,1,1,15.9,75.0,2.0
491,0,3,1,29.69911764705882,1,0,19.9667,75.0,2.0
492,0,3,1,21.0,0,0,7.25,75.0,2.0
493,0,1,1,55.0,0,0,30.5,64.0,2.0
494,0,1,1,71.0,0,0,49.5042,75.0,0.0
495,0,3,1,21.0,0,0,8.05,75.0,2.0
496,0,3,1,29.69911764705882,0,0,14.4583,75.0,0.0
497,1,1,0,54.0,1,0,78.2667,96.0,0.0
498,0,3,1,29.69911764705882,0,0,15.1,75.0,2.0
499,0,1,0,25.0,1,2,151.55,62.0,2.0
500,0,3,1,24.0,0,0,7.7958,75.0,2.0
501,0,3,1,17.0,0,0,8.6625,75.0,2.0
502,0,3,0,21.0,0,0,7.75,75.0,1.0
503,0,3,0,29.69911764705882,0,0,7.6292,75.0,1.0
504,0,3,0,37.0,0,0,9.5875,75.0,2.0
505,1,1,0,16.0,0,0,86.5,42.0,2.0
506,0,1,1,18.0,1,0,108.9,74.0,0.0
507,1,2,0,33.0,0,2,26.0,75.0,2.0
508,1,1,1,29.69911764705882,0,0,26.55,75.0,2.0
509,0,3,1,28.0,0,0,22.525,75.0,2.0
510,1,3,1,26.0,0,0,56.4958,75.0,2.0
511,1,3,1,29.0,0,0,7.75,75.0,1.0
512,0,3,1,29.69911764705882,0,0,8.05,75.0,2.0
513,1,1,1,36.0,0,0,26.2875,121.0,2.0
514,1,1,0,54.0,1,0,59.4,75.0,0.0
515,0,3,1,24.0,0,0,7.4958,75.0,2.0
516,0,1,1,47.0,0,0,34.0208,106.0,2.0
517,1,2,0,34.0,0,0,10.5,142.0,2.0
518,0,3,1,29.69911764705882,0,0,24.15,75.0,1.0
519,1,2,0,36.0,1,0,26.0,75.0,2.0
520,0,3,1,32.0,0,0,7.8958,75.0,2.0
521,1,1,0,30.0,0,0,93.5,39.0,2.0
522,0,3,1,22.0,0,0,7.8958,75.0,2.0
523,0,3,1,29.69911764705882,0,0,7.225,75.0,0.0
524,1,1,0,44.0,0,1,57.9792,17.0,0.0
525,0,3,1,29.69911764705882,0,0,7.2292,75.0,0.0
526,0,3,1,40.5,0,0,7.75,75.0,1.0
527,1,2,0,50.0,0,0,10.5,75.0,2.0
528,0,1,1,29.69911764705882,0,0,221.7792,88.0,2.0
529,0,3,1,39.0,0,0,7.925,75.0,2.0
530,0,2,1,23.0,2,1,11.5,75.0,2.0
531,1,2,0,2.0,1,1,26.0,75.0,2.0
532,0,3,1,29.69911764705882,0,0,7.2292,75.0,0.0
533,0,3,1,17.0,1,1,7.2292,75.0,0.0
534,1,3,0,29.69911764705882,0,2,22.3583,75.0,0.0
535,0,3,0,30.0,0,0,8.6625,75.0,2.0
536,1,2,0,7.0,0,2,26.25,75.0,2.0
537,0,1,1,45.0,0,0,26.55,26.0,2.0
538,1,1,0,30.0,0,0,106.425,75.0,0.0
539,0,3,1,29.69911764705882,0,0,14.5,75.0,2.0
540,1,1,0,22.0,0,2,49.5,27.0,0.0
541,1,1,0,36.0,0,2,71.0,20.0,2.0
542,0,3,0,9.0,4,2,31.275,75.0,2.0
543,0,3,0,11.0,4,2,31.275,75.0,2.0
544,1,2,1,32.0,1,0,26.0,75.0,2.0
545,0,1,1,50.0,1,0,106.425,82.0,0.0
546,0,1,1,64.0,0,0,26.0,75.0,2.0
547,1,2,0,19.0,1,0,26.0,75.0,2.0
548,1,2,1,29.69911764705882,0,0,13.8625,75.0,0.0
549,0,3,1,33.0,1,1,20.525,75.0,2.0
550,1,2,1,8.0,1,1,36.75,75.0,2.0
551,1,1,1,17.0,0,2,110.8833,77.0,0.0
552,0,2,1,27.0,0,0,26.0,75.0,2.0
553,0,3,1,29.69911764705882,0,0,7.8292,75.0,1.0
554,1,3,1,22.0,0,0,7.225,75.0,0.0
555,1,3,0,22.0,0,0,7.775,75.0,2.0
556,0,1,1,62.0,0,0,26.55,75.0,2.0
557,1,1,0,48.0,1,0,39.6,2.0,0.0
558,0,1,1,29.69911764705882,0,0,227.525,75.0,0.0
559,1,1,0,39.0,1,1,79.65,134.0,2.0
560,1,3,0,36.0,1,0,17.4,75.0,2.0
561,0,3,1,29.69911764705882,0,0,7.75,75.0,1.0
562,0,3,1,40.0,0,0,7.8958,75.0,2.0
563,0,2,1,28.0,0,0,13.5,75.0,2.0
564,0,3,1,29.69911764705882,0,0,8.05,75.0,2.0
565,0,3,0,29.69911764705882,0,0,8.05,75.0,2.0
566,0,3,1,24.0,2,0,24.15,75.0,2.0
567,0,3,1,19.0,0,0,7.8958,75.0,2.0
568,0,3,0,29.0,0,4,21.075,75.0,2.0
569,0,3,1,29.69911764705882,0,0,7.2292,75.0,0.0
570,1,3,1,32.0,0,0,7.8542,75.0,2.0
571,1,2,1,62.0,0,0,10.5,75.0,2.0
572,1,1,0,53.0,2,0,51.4792,48.0,2.0
573,1,1,1,36.0,0,0,26.3875,121.0,2.0
574,1,3,0,29.69911764705882,0,0,7.75,75.0,1.0
575,0,3,1,16.0,0,0,8.05,75.0,2.0
576,0,3,1,19.0,0,0,14.5,75.0,2.0
577,1,2,0,34.0,0,0,13.0,75.0,2.0
578,1,1,0,39.0,1,0,55.9,128.0,2.0
579,0,3,0,29.69911764705882,1,0,14.4583,75.0,0.0
580,1,3,1,32.0,0,0,7.925,75.0,2.0
581,1,2,0,25.0,1,1,30.0,75.0,2.0
582,1,1,0,39.0,1,1,110.8833,75.0,0.0
583,0,2,1,54.0,0,0,26.0,75.0,2.0
584,0,1,1,36.0,0,0,40.125,0.0,0.0
585,0,3,1,29.69911764705882,0,0,8.7125,75.0,0.0
586,1,1,0,18.0,0,2,79.65,135.0,2.0
587,0,2,1,47.0,0,0,15.0,75.0,2.0
588,1,1,1,60.0,1,1,79.2,29.0,0.0
589,0,3,1,22.0,0,0,8.05,75.0,2.0
590,0,3,1,29.69911764705882,0,0,8.05,75.0,2.0
591,0,3,1,35.0,0,0,7.125,75.0,2.0
592,1,1,0,52.0,1,0,78.2667,96.0,0.0
593,0,3,1,47.0,0,0,7.25,75.0,2.0
594,0,3,0,29.69911764705882,0,2,7.75,75.0,1.0
595,0,2,1,37.0,1,0,26.0,75.0,2.0
596,0,3,1,36.0,1,1,24.15,75.0,2.0
597,1,2,0,29.69911764705882,0,0,33.0,75.0,2.0
598,0,3,1,49.0,0,0,0.0,75.0,2.0
599,0,3,1,29.69911764705882,0,0,7.225,75.0,0.0
600,1,1,1,49.0,1,0,56.9292,4.0,0.0
601,1,2,0,24.0,2,1,27.0,75.0,2.0
602,0,3,1,29.69911764705882,0,0,7.8958,75.0,2.0
603,0,1,1,29.69911764705882,0,0,42.4,75.0,2.0
604,0,3,1,44.0,0,0,8.05,75.0,2.0
605,1,1,1,35.0,0,0,26.55,75.0,0.0
606,0,3,1,36.0,1,0,15.55,75.0,2.0
607,0,3,1,30.0,0,0,7.8958,75.0,2.0
608,1,1,1,27.0,0,0,30.5,75.0,2.0
609,1,2,0,22.0,1,2,41.5792,75.0,0.0
610,1,1,0,40.0,0,0,153.4625,57.0,2.0
611,0,3,0,39.0,1,5,31.275,75.0,2.0
612,0,3,1,29.69911764705882,0,0,7.05,75.0,2.0
613,1,3,0,29.69911764705882,1,0,15.5,75.0,1.0
614,0,3,1,29.69911764705882,0,0,7.75,75.0,1.0
615,0,3,1,35.0,0,0,8.05,75.0,2.0
616,1,2,0,24.0,1,2,65.0,75.0,2.0
617,0,3,1,34.0,1,1,14.4,75.0,2.0
618,0,3,0,26.0,1,0,16.1,75.0,2.0
619,1,2,0,4.0,2,1,39.0,144.0,2.0
620,0,2,1,26.0,0,0,10.5,75.0,2.0
621,0,3,1,27.0,1,0,14.4542,75.0,0.0
622,1,1,1,42.0,1,0,52.5542,95.0,2.0
623,1,3,1,20.0,1,1,15.7417,75.0,0.0
624,0,3,1,21.0,0,0,7.8542,75.0,2.0
625,0,3,1,21.0,0,0,16.1,75.0,2.0
626,0,1,1,61.0,0,0,32.3208,110.0,2.0
627,0,2,1,57.0,0,0,12.35,75.0,1.0
628,1,1,0,21.0,0,0,77.9583,114.0,2.0
629,0,3,1,26.0,0,0,7.8958,75.0,2.0
630,0,3,1,29.69911764705882,0,0,7.7333,75.0,1.0
631,1,1,1,80.0,0,0,30.0,5.0,2.0
632,0,3,1,51.0,0,0,7.0542,75.0,2.0
633,1,1,1,32.0,0,0,30.5,33.0,0.0
634,0,1,1,29.69911764705882,0,0,0.0,75.0,2.0
635,0,3,0,9.0,3,2,27.9,75.0,2.0
636,1,2,0,28.0,0,0,13.0,75.0,2.0
637,0,3,1,32.0,0,0,7.925,75.0,2.0
638,0,2,1,31.0,1,1,26.25,75.0,2.0
639,0,3,0,41.0,0,5,39.6875,75.0,2.0
640,0,3,1,29.69911764705882,1,0,16.1,75.0,2.0
641,0,3,1,20.0,0,0,7.8542,75.0,2.0
642,1,1,0,24.0,0,0,69.3,24.0,0.0
643,0,3,0,2.0,3,2,27.9,75.0,2.0
644,1,3,1,29.69911764705882,0,0,56.4958,75.0,2.0
645,1,3,0,0.75,2,1,19.2583,75.0,0.0
646,1,1,1,48.0,1,0,76.7292,101.0,0.0
647,0,3,1,19.0,0,0,7.8958,75.0,2.0
648,1,1,1,56.0,0,0,35.5,7.0,0.0
649,0,3,1,29.69911764705882,0,0,7.55,75.0,2.0
650,1,3,0,23.0,0,0,7.55,75.0,2.0
651,0,3,1,29.69911764705882,0,0,7.8958,75.0,2.0
652,1,2,0,18.0,0,1,23.0,75.0,2.0
653,0,3,1,21.0,0,0,8.4333,75.0,2.0
654,1,3,0,29.69911764705882,0,0,7.8292,75.0,1.0
655,0,3,0,18.0,0,0,6.75,75.0,1.0
656,0,2,1,24.0,2,0,73.5,75.0,2.0
657,0,3,1,29.69911764705882,0,0,7.8958,75.0,2.0
658,0,3,0,32.0,1,1,15.5,75.0,1.0
659,0,2,1,23.0,0,0,13.0,75.0,2.0
660,0,1,1,58.0,0,2,113.275,108.0,0.0
661,1,1,1,50.0,2,0,133.65,75.0,2.0
662,0,3,1,40.0,0,0,7.225,75.0,0.0
663,0,1,1,47.0,0,0,25.5875,132.0,2.0
664,0,3,1,36.0,0,0,7.4958,75.0,2.0
665,1,3,1,20.0,1,0,7.925,75.0,2.0
666,0,2,1,32.0,2,0,73.5,75.0,2.0
667,0,2,1,25.0,0,0,13.0,75.0,2.0
668,0,3,1,29.69911764705882,0,0,7.775,75.0,2.0
669,0,3,1,43.0,0,0,8.05,75.0,2.0
670,1,1,0,29.69911764705882,1,0,52.0,58.0,2.0
671,1,2,0,40.0,1,1,39.0,75.0,2.0
672,0,1,1,31.0,1,0,52.0,38.0,2.0
673,0,2,1,70.0,0,0,10.5,75.0,2.0
674,1,2,1,31.0,0,0,13.0,75.0,2.0
675,0,2,1,29.69911764705882,0,0,0.0,75.0,2.0
676,0,3,1,18.0,0,0,7.775,75.0,2.0
677,0,3,1,24.5,0,0,8.05,75.0,2.0
678,1,3,0,18.0,0,0,9.8417,75.0,2.0
679,0,3,0,43.0,1,6,46.9,75.0,2.0
680,1,1,1,36.0,0,1,512.3292,34.0,0.0
681,0,3,0,29.69911764705882,0,0,8.1375,75.0,1.0
682,1,1,1,27.0,0,0,76.7292,109.0,0.0
683,0,3,1,20.0,0,0,9.225,75.0,2.0
684,0,3,1,14.0,5,2,46.9,75.0,2.0
685,0,2,1,60.0,1,1,39.0,75.0,2.0
686,0,2,1,25.0,1,2,41.5792,75.0,0.0
687,0,3,1,14.0,4,1,39.6875,75.0,2.0
688,0,3,1,19.0,0,0,10.1708,75.0,2.0
689,0,3,1,18.0,0,0,7.7958,75.0,2.0
690,1,1,0,15.0,0,1,211.3375,32.0,2.0
691,1,1,1,31.0,1,0,57.0,19.0,2.0
692,1,3,0,4.0,0,1,13.4167,75.0,0.0
693,1,3,1,29.69911764705882,0,0,56.4958,75.0,2.0
694,0,3,1,25.0,0,0,7.225,75.0,0.0
695,0,1,1,60.0,0,0,26.55,75.0,2.0
696,0,2,1,52.0,0,0,13.5,75.0,2.0
697,0,3,1,44.0,0,0,8.05,75.0,2.0
698,1,3,0,29.69911764705882,0,0,7.7333,75.0,1.0
699,0,1,1,49.0,1,1,110.8833,75.0,0.0
700,0,3,1,42.0,0,0,7.65,139.0,2.0
701,1,1,0,18.0,1,0,227.525,73.0,0.0
702,1,1,1,35.0,0,0,26.2875,120.0,2.0
703,0,3,0,18.0,0,1,14.4542,75.0,0.0
704,0,3,1,25.0,0,0,7.7417,75.0,1.0
705,0,3,1,26.0,1,0,7.8542,75.0,2.0
706,0,2,1,39.0,0,0,26.0,75.0,2.0
707,1,2,0,45.0,0,0,13.5,75.0,2.0
708,1,1,1,42.0,0,0,26.2875,120.0,2.0
709,1,1,0,22.0,0,0,151.55,75.0,2.0
710,1,3,1,29.69911764705882,1,1,15.2458,75.0,0.0
711,1,1,0,24.0,0,0,49.5042,84.0,0.0
712,0,1,1,29.69911764705882,0,0,26.55,56.0,2.0
713,1,1,1,48.0,1,0,52.0,58.0,2.0
714,0,3,1,29.0,0,0,9.4833,75.0,2.0
715,0,2,1,52.0,0,0,13.0,75.0,2.0
716,0,3,1,19.0,0,0,7.65,140.0,2.0
717,1,1,0,38.0,0,0,227.525,66.0,0.0
718,1,2,0,27.0,0,0,10.5,116.0,2.0
719,0,3,1,29.69911764705882,0,0,15.5,75.0,1.0
720,0,3,1,33.0,0,0,7.775,75.0,2.0
721,1,2,0,6.0,0,1,33.0,75.0,2.0
722,0,3,1,17.0,1,0,7.0542,75.0,2.0
723,0,2,1,34.0,0,0,13.0,75.0,2.0
724,0,2,1,50.0,0,0,13.0,75.0,2.0
725,1,1,1,27.0,1,0,53.1,137.0,2.0
726,0,3,1,20.0,0,0,8.6625,75.0,2.0
727,1,2,0,30.0,3,0,21.0,75.0,2.0
728,1,3,0,29.69911764705882,0,0,7.7375,75.0,1.0
729,0,2,1,25.0,1,0,26.0,75.0,2.0
730,0,3,0,25.0,1,0,7.925,75.0,2.0
731,1,1,0,29.0,0,0,211.3375,32.0,2.0
732,0,3,1,11.0,0,0,18.7875,75.0,0.0
733,0,2,1,29.69911764705882,0,0,0.0,75.0,2.0
734,0,2,1,23.0,0,0,13.0,75.0,2.0
735,0,2,1,23.0,0,0,13.0,75.0,2.0
736,0,3,1,28.5,0,0,16.1,75.0,2.0
737,0,3,0,48.0,1,3,34.375,75.0,2.0
738,1,1,1,35.0,0,0,512.3292,15.0,0.0
739,0,3,1,29.69911764705882,0,0,7.8958,75.0,2.0
740,0,3,1,29.69911764705882,0,0,7.8958,75.0,2.0
741,1,1,1,29.69911764705882,0,0,30.0,105.0,2.0
742,0,1,1,36.0,1,0,78.85,67.0,2.0
743,1,1,0,21.0,2,2,262.375,35.0,0.0
744,0,3,1,24.0,1,0,16.1,75.0,2.0
745,1,3,1,31.0,0,0,7.925,75.0,2.0
746,0,1,1,70.0,1,1,71.0,20.0,2.0
747,0,3,1,16.0,1,1,20.25,75.0,2.0
748,1,2,0,30.0,0,0,13.0,75.0,2.0
749,0,1,1,19.0,1,0,53.1,100.0,2.0
750,0,3,1,31.0,0,0,7.75,75.0,1.0
751,1,2,0,4.0,1,1,23.0,75.0,2.0
752,1,3,1,6.0,0,1,12.475,118.0,2.0
753,0,3,1,33.0,0,0,9.5,75.0,2.0
754,0,3,1,23.0,0,0,7.8958,75.0,2.0
755,1,2,0,48.0,1,2,65.0,75.0,2.0
756,1,2,1,0.67,1,1,14.5,75.0,2.0
757,0,3,1,28.0,0,0,7.7958,75.0,2.0
758,0,2,1,18.0,0,0,11.5,75.0,2.0
759,0,3,1,34.0,0,0,8.05,75.0,2.0
760,1,1,0,33.0,0,0,86.5,40.0,2.0
761,0,3,1,29.69911764705882,0,0,14.5,75.0,2.0
762,0,3,1,41.0,0,0,7.125,75.0,2.0
763,1,3,1,20.0,0,0,7.2292,75.0,0.0
764,1,1,0,36.0,1,2,120.0,47.0,2.0
765,0,3,1,16.0,0,0,7.775,75.0,2.0
766,1,1,0,51.0,1,0,77.9583,92.0,2.0
767,0,1,1,29.69911764705882,0,0,39.6,75.0,0.0
768,0,3,0,30.5,0,0,7.75,75.0,1.0
769,0,3,1,29.69911764705882,1,0,24.15,75.0,1.0
770,0,3,1,32.0,0,0,8.3625,75.0,2.0
771,0,3,1,24.0,0,0,9.5,75.0,2.0
772,0,3,1,48.0,0,0,7.8542,75.0,2.0
773,0,2,0,57.0,0,0,10.5,136.0,2.0
774,0,3,1,29.69911764705882,0,0,7.225,75.0,0.0
775,1,2,0,54.0,1,3,23.0,75.0,2.0
776,0,3,1,18.0,0,0,7.75,75.0,2.0
777,0,3,1,29.69911764705882,0,0,7.75,143.0,1.0
778,1,3,0,5.0,0,0,12.475,75.0,2.0
779,0,3,1,29.69911764705882,0,0,7.7375,75.0,1.0
780,1,1,0,43.0,0,1,211.3375,22.0,2.0
781,1,3,0,13.0,0,0,7.2292,75.0,0.0
782,1,1,0,17.0,1,0,57.0,19.0,2.0
783,0,1,1,29.0,0,0,30.0,112.0,2.0
784,0,3,1,29.69911764705882,1,2,23.45,75.0,2.0
785,0,3,1,25.0,0,0,7.05,75.0,2.0
786,0,3,1,25.0,0,0,7.25,75.0,2.0
787,1,3,0,18.0,0,0,7.4958,75.0,2.0
788,0,3,1,8.0,4,1,29.125,75.0,1.0
789,1,3,1,1.0,1,2,20.575,75.0,2.0
790,0,1,1,46.0,0,0,79.2,44.0,0.0
791,0,3,1,29.69911764705882,0,0,7.75,75.0,1.0
792,0,2,1,16.0,0,0,26.0,75.0,2.0
793,0,3,0,29.69911764705882,8,2,69.55,75.0,2.0
794,0,1,1,29.69911764705882,0,0,30.6958,75.0,0.0
795,0,3,1,25.0,0,0,7.8958,75.0,2.0
796,0,2,1,39.0,0,0,13.0,75.0,2.0
797,1,1,0,49.0,0,0,25.9292,94.0,2.0
798,1,3,0,31.0,0,0,8.6833,75.0,2.0
799,0,3,1,30.0,0,0,7.2292,75.0,0.0
800,0,3,0,30.0,1,1,24.15,75.0,2.0
801,0,2,1,34.0,0,0,13.0,75.0,2.0
802,1,2,0,31.0,1,1,26.25,75.0,2.0
803,1,1,1,11.0,1,2,120.0,47.0,2.0
804,1,3,1,0.42,0,1,8.5167,75.0,0.0
805,1,3,1,27.0,0,0,6.975,75.0,2.0
806,0,3,1,31.0,0,0,7.775,75.0,2.0
807,0,1,1,39.0,0,0,0.0,11.0,2.0
808,0,3,0,18.0,0,0,7.775,75.0,2.0
809,0,2,1,39.0,0,0,13.0,75.0,2.0
810,1,1,0,33.0,1,0,53.1,137.0,2.0
811,0,3,1,26.0,0,0,7.8875,75.0,2.0
812,0,3,1,39.0,0,0,24.15,75.0,2.0
813,0,2,1,35.0,0,0,10.5,75.0,2.0
814,0,3,0,6.0,4,2,31.275,75.0,2.0
815,0,3,1,30.5,0,0,8.05,75.0,2.0
816,0,1,1,29.69911764705882,0,0,0.0,16.0,2.0
817,0,3,0,23.0,0,0,7.925,75.0,2.0
818,0,2,1,31.0,1,1,37.0042,75.0,0.0
819,0,3,1,43.0,0,0,6.45,75.0,2.0
820,0,3,1,10.0,3,2,27.9,75.0,2.0
821,1,1,0,52.0,1,1,93.5,37.0,2.0
822,1,3,1,27.0,0,0,8.6625,75.0,2.0
823,0,1,1,38.0,0,0,0.0,75.0,2.0
824,1,3,0,27.0,0,1,12.475,118.0,2.0
825,0,3,1,2.0,4,1,39.6875,75.0,2.0
826,0,3,1,29.69911764705882,0,0,6.95,75.0,1.0
827,0,3,1,29.69911764705882,0,0,56.4958,75.0,2.0
828,1,2,1,1.0,0,2,37.0042,75.0,0.0
829,1,3,1,29.69911764705882,0,0,7.75,75.0,1.0
830,1,1,0,62.0,0,0,80.0,21.0,2.0
831,1,3,0,15.0,1,0,14.4542,75.0,0.0
832,1,2,1,0.83,1,1,18.75,75.0,2.0
833,0,3,1,29.69911764705882,0,0,7.2292,75.0,0.0
834,0,3,1,23.0,0,0,7.8542,75.0,2.0
835,0,3,1,18.0,0,0,8.3,75.0,2.0
836,1,1,0,39.0,1,1,83.1583,130.0,0.0
837,0,3,1,21.0,0,0,8.6625,75.0,2.0
838,0,3,1,29.69911764705882,0,0,8.05,75.0,2.0
839,1,3,1,32.0,0,0,56.4958,75.0,2.0
840,1,1,1,29.69911764705882,0,0,29.7,68.0,0.0
841,0,3,1,20.0,0,0,7.925,75.0,2.0
842,0,2,1,16.0,0,0,10.5,75.0,2.0
843,1,1,0,30.0,0,0,31.0,75.0,0.0
844,0,3,1,34.5,0,0,6.4375,75.0,0.0
845,0,3,1,17.0,0,0,8.6625,75.0,2.0
846,0,3,1,42.0,0,0,7.55,75.0,2.0
847,0,3,1,29.69911764705882,8,2,69.55,75.0,2.0
848,0,3,1,35.0,0,0,7.8958,75.0,0.0
849,0,2,1,28.0,0,1,33.0,75.0,2.0
850,1,1,0,29.69911764705882,1,0,89.1042,86.0,0.0
851,0,3,1,4.0,4,2,31.275,75.0,2.0
852,0,3,1,74.0,0,0,7.775,75.0,2.0
853,0,3,0,9.0,1,1,15.2458,75.0,0.0
854,1,1,0,16.0,0,1,39.4,99.0,2.0
855,0,2,0,44.0,1,0,26.0,75.0,2.0
856,1,3,0,18.0,0,1,9.35,75.0,2.0
857,1,1,0,45.0,1,1,164.8667,75.0,2.0
858,1,1,1,51.0,0,0,26.55,119.0,2.0
859,1,3,0,24.0,0,3,19.2583,75.0,0.0
860,0,3,1,29.69911764705882,0,0,7.2292,75.0,0.0
861,0,3,1,41.0,2,0,14.1083,75.0,2.0
862,0,2,1,21.0,1,0,11.5,75.0,2.0
863,1,1,0,48.0,0,0,25.9292,94.0,2.0
864,0,3,0,29.69911764705882,8,2,69.55,75.0,2.0
865,0,2,1,24.0,0,0,13.0,75.0,2.0
866,1,2,0,42.0,0,0,13.0,75.0,2.0
867,1,2,0,27.0,1,0,13.8583,75.0,0.0
868,0,1,1,31.0,0,0,50.4958,6.0,2.0
869,0,3,1,29.69911764705882,0,0,9.5,75.0,2.0
870,1,3,1,4.0,1,1,11.1333,75.0,2.0
871,0,3,1,26.0,0,0,7.8958,75.0,2.0
872,1,1,0,47.0,1,1,52.5542,102.0,2.0
873,0,1,1,33.0,0,0,5.0,34.0,2.0
874,0,3,1,47.0,0,0,9.0,75.0,2.0
875,1,2,0,28.0,1,0,24.0,75.0,0.0
876,1,3,0,15.0,0,0,7.225,75.0,0.0
877,0,3,1,20.0,0,0,9.8458,75.0,2.0
878,0,3,1,19.0,0,0,7.8958,75.0,2.0
879,0,3,1,29.69911764705882,0,0,7.8958,75.0,2.0
880,1,1,0,56.0,0,1,83.1583,70.0,0.0
881,1,2,0,25.0,0,1,26.0,75.0,2.0
882,0,3,1,33.0,0,0,7.8958,75.0,2.0
883,0,3,0,22.0,0,0,10.5167,75.0,2.0
884,0,2,1,28.0,0,0,10.5,75.0,2.0
885,0,3,1,25.0,0,0,7.05,75.0,2.0
886,0,3,0,39.0,0,5,29.125,75.0,1.0
887,0,2,1,27.0,0,0,13.0,75.0,2.0
888,1,1,0,19.0,0,0,30.0,30.0,2.0
889,0,3,0,29.69911764705882,1,2,23.45,75.0,2.0
890,1,1,1,26.0,0,0,30.0,60.0,0.0
891,0,3,1,32.0,0,0,7.75,75.0,1.0
